站點唯一 ID,站點 ID,站名,站點地址,經度,緯度
THB303383,303383,婦幼福利服務中心,基隆市安樂區麥金路433號,121.71957,25.12498
THB303384,303384,新山淨水場,基隆市安樂區麥金路749號,121.720533,25.133398
THB303385,303385,武嶺街口,基隆市安樂區基金一路183號,121.71194,25.14019
THB303386,303386,金山鐵店,基隆市安樂區基金一路177號,121.707492,25.141727
THB303387,303387,武聖街口,基隆市安樂區基金三路145號,121.69583,25.15656
THB303408,303408,基隆火車站(海洋廣場),基隆市仁愛區忠一路(小艇碼頭邊),121.740973,25.131083
THB303430,303430,福興路口,南投縣埔里鎮西安路2段286號前,120.971214,23.995214
THB303431,303431,福興路口,南投縣埔里鎮西安路2段286號對面,120.971118,23.995146
THB303433,303433,碧興路口,南投縣草屯鎮碧山路1134-6 號旁對面,120.65404,23.97275
THB303434,303434,碧興路口,南投縣草屯鎮碧山路1134-6 號旁電桿,120.654142,23.972665
THB303437,303437,上舊社,彰化縣芬園鄉彰南路四段 666 號,120.62438,24.02453
THB303438,303438,上舊社,彰化縣芬園鄉彰南路四段 689 號,120.6241326,24.0244477
THB303439,303439,北門國小,桃園市桃園區民生路595號,121.308677,25.005717
THB303440,303440,北門國小,桃園市桃園區民生路682號,121.308653,25.006132
THB303441,303441,台灣菸酒公司,桃園市桃園區民生路519號,121.309175,25.003673
THB303442,303442,台灣菸酒公司,桃園市桃園區民生路666號,121.309271,25.003938
THB303443,303443,北門口,桃園市桃園區民生路355號,121.310932,24.99895
THB303444,303444,北門口,桃園市桃園區民生路466號,121.310927,24.999214
THB303445,303445,鴻福寺,桃園市桃園區民生路243號,121.31221,24.99621
THB303446,303446,鴻福寺,桃園市桃園區民生路272號,121.31256,24.99574
THB303447,303447,捷運科技大樓站,臺北市大安區復興南路二段198號,121.543354,25.026957
THB303449,303449,彰化(三民路),彰化縣彰化市長樂里三民路3號,120.53912,24.081855
THB303450,303450,彰化(三民路),彰化縣彰化市三民路8號,120.539425,24.08204
THB303459,303459,魚池內,彰化縣社頭鄉山腳路四段311號,120.602612,23.932961
THB303460,303460,魚池內,彰化縣社頭鄉山腳路四段314號,120.602735,23.932896
THB303461,303461,伴天聊,台灣南投縣仁愛鄉新生村山林巷78號前,120.985232,24.075596
THB303462,303462,伴天聊,台灣南投縣仁愛鄉新生村山林巷46號前,120.9852494,24.0757003
THB303469,303469,桃園大圳橋,桃園市中壢區中壢交流道下,121.238049,24.985521
THB303476,303476,基隆火車站(海洋廣場),基隆市仁愛區忠一路1號,121.74048,25.13134
THB303478,303478,基隆長庚醫院,基隆市安樂區麥金路129號對面,121.72181,25.12063
THB303479,303479,體育館,桃園市桃園區成功路二段265號對面,121.322445,24.995839
THB303480,303480,體育館,桃園市桃園區成功路二段265號前,121.322378,24.995939
THB303481,303481,桃園機場第一航廈,桃園市大園區一期航站西側大客車上車處,121.23698,25.08043
THB303482,303482,桃園機場第二航廈,桃園市大園區二期航站北側及東側大客車上車處,121.237136,25.080268
THB303486,303486,集元果觀光工廠,南投縣集集鎮大坪巷38 號對面,120.814588,23.8256436
THB303487,303487,集元果觀光工廠,南投縣集集鎮大坪巷38 號右側10 公尺處,120.81463,23.82541
THB303488,303488,集元果觀光工廠,南投縣集集鎮大坪巷38 號對面,120.814579,23.825672
THB303489,303489,集元果觀光工廠,南投縣集集鎮大坪巷38 號右側10 公尺處,120.814627,23.825415
THB303490,303490,鹿谷國中(側門),南投縣鹿谷鄉仁義路94之1號(台電電桿-鹿中枝-13-K6854-BC99),120.7593589,23.7477338
THB303498,303498,海科館(碧水巷),基隆市中正區北寧路367號,121.79957,25.14011
THB303499,303499,海科館(碧水巷),基隆市中正區北寧路367號對面,121.79929,25.13994
THB303500,303500,八斗子,基隆市中正區北寧路319號,121.79545,25.13967
THB303501,303501,八斗子,基隆市中正區北寧路378之1號,121.79541,25.13963
THB303502,303502,漁貨直銷中心(碧砂漁港),基隆市中正區北寧路(基隆市路燈編號16170號桿對面),121.78555,25.14473
THB303503,303503,漁貨直銷中心(碧砂漁港),基隆市中正區北寧路(基隆市路燈編號16162號桿對面),121.78659,25.144
THB303504,303504,海大(體育館),基隆市中正區北寧路(基隆市路燈編號16216號桿對面),121.78091,25.15013
THB303507,303507,二信中學,基隆市中正區祥豐街343號旁,121.76789,25.14482
THB303508,303508,二信中學,基隆市中正區祥豐街389號對面,121.76835,25.14506
THB303509,303509,海大(祥豐校門),基隆市中正區北寧路21號,121.77305,25.15108
THB303510,303510,祥豐市場,基隆市中正區祥豐街72號,121.76411,25.14213
THB303511,303511,祥豐市場,基隆市中正區祥豐街119號,121.7643,25.14228
THB303512,303512,潭美公園,臺北市南京東路六段350號對面,121.585689,25.059658
THB303513,303513,潭美公園,臺北市南京東路六段350號,121.585791,25.05923
THB303514,303514,天主堂,基隆市中正區祥豐街41號旁,121.7616,25.141389
THB303515,303515,天主堂,基隆市中正區祥豐街30號旁,121.7616,25.14113
THB303516,303516,南京公寓(捷運南京三民),臺北市南京東路五段309號,121.56665,25.051499
THB303517,303517,南京公寓(捷運南京三民),臺北市南京東路五段272號,121.566622,25.051246
THB303518,303518,中正區行政大樓,基隆市中正區中正路115號旁,121.75878,25.14102
THB303519,303519,中正區行政大樓,基隆市中正區正豐街2號旁,121.75866,25.14056
THB303520,303520,交通部觀光署,臺北市忠孝東路四段317號,121.555927,25.041483
THB303521,303521,交通部觀光署,臺北市忠孝東路四段290號,121.555789,25.041269
